login,post,posts_time,posts_dt,ticker
Russian_Stocks,"🇷🇺 Главные новости прошедшей недели:

🔶 НДПИ для Газпрома с 1 января повышается на 50 млрд рублей ежемесячно (до 2026 года)

🔶 Российский экспорт нефти упал до годового минимума на фоне эмбарго ЕС (Bloomberg) $ROSN

🔶 Приложения VK $VKCO, Яндекса $YNDX и Rutube начнут предустанавливать на ввозимые в РФ устройства

🔶 Цена на нефть марки Brent опустилась ниже 80 долларов $LKOH

🔶 В 2022 году Группа «Газпром» выплатила в бюджеты всех уровней более 5 трлн рублей (Миллер)

🔶 Акции Мечела $MTLR выросли до максимума за 4 месяца

🔶 Goldman Sachs спрогнозировал сокращение экономики РФ в 2023 году на 1,3%

🔶 Акционеры НЛМК $NLMK не утвердили выплату дивидендов за 9 месяцев, против было 98% голосов

🔶 Истёк срок действия акционерного соглашения между основными владельцами ""Норникеля"" $GMKN $RUAL

🔶 Цена газа в Европе достигла $726 (новый минимум за 14 месяцев) $NVTK

🔶 ВТБ $VTBR получил полный операционный контроль над банком ""Открытие""

🔶 Газпром $GAZP снова обновил суточный рекорд по поставкам газа в Китай

🔶 Акции ТМК выросли до максимума за 4 месяца

🔶 Великобритания прекратила весь импорт российского СПГ

🔶 Продажи жилья в московских новостройках по итогам года упали на 15–20%

🔶 Цена на золото достигла новых локальных максимумов в начале 2023 года $POLY $PLZL

🔶 Экспорт Газпрома в дальнее зарубежье в 2023 году может достичь минимального с 1980-х годов уровня

🔶 Индекс Мосбиржи по итогам 2022 года упал на 43,1%


✅ Если было полезно, заходите в профиль и подписывайтесь на канал❗️

✅ Только профессиональная аналитика из разных официальных источников❗️



#акции #россия #пульс #новости #аналитика #новичкам #инвестиции #учу_в_пульсе #прояви_себя_в_пульсе",18:30,2023-01-06,LKOH
Starichok54,"$LKOH сооблазняет поддержать вверх, но поддержки нет и сливает свои бумаги, короче блейфует.",18:28,2023-01-06,LKOH
Renatic,"$LKOH ох и накуканят нас, как мне кажется.",18:24,2023-01-06,LKOH
Niyaz_ka,$LKOH такое чувство как будто набор позиции идёт )) и один крупный дядя закупает),18:23,2023-01-06,LKOH
PSW,"$LKOH очень интересно ходили за сиплым и нефтью , а что теперь ? непонятно что происходит 🤔 , оставляю на выходные . Дивиденды еще не всем пришли ? 4110 надо закрыться ..",18:21,2023-01-06,LKOH
Nevi.Dim.ka,"$TATN по Татнефти хотел написать пару строк и по нашим нефтяным компаниям. Лично для себя, а не в качестве экспертного мнения.
Посмотрел и изучил график, объемы, уровень силы... и решил, что за 350₽ можно взять немного.
Даже сейчас цена привлекательная в среднесрок и дело не в дивидендах, они достаточно скромные для роста, и других драйверов роста нет. Судя по тому как котировки топчатся на месте, все ждут и хотят $TATN гораздо ниже.
Но!
Такие же цифры можно было наблюдать в 2017 году. Куда уж ниже?! Не так у нас всё плохо.
  🛢️ Хотя. Та же Роснефть $ROSN  с 2017 года особо не выросла, и дивидендов заплатила меньше. 
  🛢️ Лукойл $LKOH с 2017 года вырос с 2800 до 4700, и снова чуть упал. Но как никак вырос и дивиденды платит хорошие.
Ниже 4000₽ Лукойл вообще не вижу. С этих значений покупаю в портфель 💼
. . .
Можно ждать цены ниже, ниже... искать своё дно и так ничего и не дождаться.
Я жду в $TATN  небольшое снижение, наверное до 345₽ и с этого уровня, плюс минус 340 можно начинать покупать. А дальше смотреть обстановку в России и мире.
Дадут ниже и очень замечательно. Вырастет к лету?! Значит мы сегодня, сейчас были молодцы.",18:15,2023-01-06,LKOH
AleksandrNSK54,$LKOH что это грандиозный закуп или это слив 🙈🙈🙈,17:55,2023-01-06,LKOH
FAMILYINVESTOR999,"$LKOH Див ГЭП начал закрывать. И зоны сопротивления отметил. Уровни принятия решений (4200;3950)


Не является ИИР",17:33,2023-01-06,LKOH
ALEXMIT1,$LKOH сливают по-тихому нефтянку.,17:31,2023-01-06,LKOH
KVAZAR_77777,$LKOH кто то точно большой выводит денежку 🤔,17:03,2023-01-06,LKOH
