login,post,posts_time,posts_dt,ticker
gomatch,"Продам Роснефть, почти даром $ROSN, куплю Лукойл по текущей цене $LKOH",0:59,2023-01-01,ROSN
IvanProkofev,"$ROSN $GAZP $TATN $TATNP $SBER $MOEX $TCSG $TRNFP с наступающим и наступившим новым годом, друзья! Желаю Вам всем в первую очередь мирного неба над головой, чтобы удача улыбалась вам и чтобы слово болезнь всегда обходило вас стороной! Всем прибыли и дивов! 🎉🎉🎉
@Pulse_Official удачи Вам, ребята и процветания!",23:16,2022-12-31,ROSN
Podn9lL_Babla,"$ROSN С новым, 2023 годом🫡🎄🥳Пусть в новом году, ваш портфель будет ярко зеленого цвета с 7-значными цифрами и больше🫣☝️😎🙂",22:40,2022-12-31,ROSN
PavelGorskii,"Супер краткие итоги года

Создал отдельный портфель с целью накопить средства на покупку новой квартиры через 5 лет, в который покупаю только облигации.

Из-за риска блокировок иностранных активов, за этот год сильно увеличил количество российских акций и облигаций в основном портфеле.
В большей степени выбрал для вложений Роснефть $ROSN, Газпром $GAZP, Positive Technologies $POSI,  En+ $ENPG и Сбербанк $SBER

Максимальная просадка от вложенных средств была -33% в июне.
С тех пор портфель начал восстанавливается, в итоге на конец года имеем -15% от вложенных

В новом году продолжу пополнять счет и набирать позиции. Рано или поздно погода на рынке наладится и терпеливые получат свои профиты
Всех с наступающим и удачи в новом году)",20:51,2022-12-31,ROSN
Andre2012,"$ROSN Российский бюджет выплатит нефтяным компаниям рекордные 2,15 трлн руб. в 2022 году по так называемому демпферу — механизму, призванному сдерживать цены на автомобильное топливо, пишет «Коммерсантъ» со ссылкой на оценку Минфина.

В прошлом году нефтяники получили по демпферу 670 млрд руб. Таким образом, в этом году размер компенсации увеличится более чем в 3 раза. При этом 20% от всех выплат нефтяникам перечислят за март, когда произошла девальвация рубля на фоне высоких цен на нефть.",20:44,2022-12-31,ROSN
Stanislav_Arturovich,"Поздравляю Друзья с наступающим Новым Годом!

Желаю чтобы следующий год  принёс больше радости и был более успешен в ваших делах!

Как говорил ранее,с биржи уходил перед февральскими событиями.
Но два месяца назад решил вновь вернуться!
Строго не судите за отчёт))
Донаты подписки и 👍приветствую 😎

1.РОСНЕФТЬ ( $ROSN  ) 
Большая часть портфеля занимает именно данная компания!
Ставка в первую очередь на дивидентный доход + планы на покупку каждый месяц,если конечно будет падать вниз.
Вполне вероятно при див-гепе 

2. Лукойл ( $LKOH  ) 
Вторая компания компания по обьему в моём портфеле,ставка на дивидентный доход!
Да просела,так как покупал только в конце года,намерен докупить одну после максимальной просадки (как минимум на размер див-дохода).Планы закупать раз в квартал,думаю так получу более-менее адекватный ценник по отношению к рыночной стоимости! 

3.Донской Ломбард ( $RU000A1024R4 )  
Крупнейшая сеть ломбардов на юге России.
Краткосрочная облигация с ежемесячным купоном и амортизацией(Частичное погашение 83,3)
Обращу внимание взял на короткий срок чтобы диверсифицировать портфель,а с погашениями намерен реинвестировать в различные отрасли! 

4.Татнефть П ( $TATNP  ) 
Так же нефтяная компания которая занимает существенный вес в портфеле ,расчёт на дивидентный доход!
Планирую докупать каждый месяц если будет падать или просто получать доход и реинвестировать! 

5.Газпром ( $GAZP  ) 
Согласен на дивидентный доход в этой компании рассчитывать сложно, есть большой риск!
Вниз или вверх,незнаю..
Возможно буду докупать раз в квартал..
(Больше вызывает интерес Газпром-нефть $SIBN  ) 

6.Новатек ( $NVTK  ) 
Новатэк вызывает большие надежды в отличии от Газпрома,есть вероятность роста+дивидентный доход 

7.АНТЕРРА ( $ATRR01)
АНТЕРРА-является оператором wellness-отеля Gren Flow на курорте <<Роза Хутор>> в Краснодарском крае. 
Облигация с купонным доходом 46.12 без амортизации,купон 4 раза в год.
Доходность и рейтинг вызывает интерес! 

8.ТАТНЕФТЕХИМ ( $RU000A103UL3 )
В данный момент данный облигация вызывает у меня некоторые сомнения,покупал в спешке и только из за того что купонный доход 6 раз в год. 
Есть оферта,у меня это вызывает ассоциации с аферой... 

9. СЕВЕРСТАЛЬ( $CHMF )
К металлургической отрасли конечно есть большие вопросы,взял чисто для диверсификации портфеля, надеюсь что всё таки компания к концу следующего года станет более открытой и решит вопрос с выплатой дивидендов! 

10.ТМК ( $TRMK )
Покупал в конце года,когда заметил дивидентный доход!
После выплат будет просадка!Компания на фоне Геополитических волнений показывает отличный результат!Намерен докупать после дивидентных выплат и максимальной просадки! 

11.Аренза-про ( $RU000A104C78 )  краткосрочная облигация с купоном 4 раза в год + амортизация! 

12.ММК ( $MAGN ) 
Компания из металлургического сектора, который как известно испытывает сложности в выплате дивидендов+санкции которые ударили больше всего..
Будет просадка буду докупать,есть вероятность восстановления к концу следующего года!

Хорошей ночи😎
#новичкам
#учу_в_пульсе
#прояви_себя_в_пульсе
#пульс_оцени
#Аналитик_народного_портфеля
#россия
#итоги",20:26,2022-12-31,ROSN
ovasnova,"Похоже, заканчиваю год с 555 подписчиками) 
Если кто-то хочет испортить красивую цифру, валяйте, я не против 😂😂

Всех, ещё раз, с новым годом! Терпения нам всем большого в 2023 году ❤️

Для информации,  последние данные по долям компаний в народном портфеле: 
$GAZP - 26.1%
$SBER - 28.5%
$LKOH - 11.9% 
$GMKN - 9.7%
$YNDX - 5.7%
$SNGS - 5%
$ROSN - 5%
$MTSS - 4%
$NVTK - 4%

Из этого списка для меня наиболее инткресные сбер и Лукойл. Всех остальных пока что покупаю через етф от Тинькова - $TMOS . Очень удобно и без комиссии. Нет, не реклама, реально удобно 💪🏻

Всех обнял, крепко, увидимся в 2023!",20:19,2022-12-31,ROSN
Nuriev17,$ROSN а за что подарок,16:40,2022-12-31,ROSN
Dimka256,$ROSN стоит ли щас фиксировать?,16:39,2022-12-31,ROSN
ileonov,"Пора подвести итоги по #портфель_ileonov в 2022 году. Я напоминаю, это публичный портфель с целью накопления на старость. Он удерживает средства и постепенно их наращивает, за счет сложного процента и обгона инфляции. Риск в этом портфеле не приветствуется и он подходит для  инвесторов, которые не готовы потерять сбережения. 
Начал я его вести с 1 сентября этого года. Благодаря диверсификации портфеля и соблюдению правил (можно их изучить по тегу #ошибки_ileonov), портфель куда меньше просаживался, чем рынок, хотя и доходность в моменты роста давал меньше. 
Итог за первые 4 месяца: 400 000 рублей превратились в 454 400 рублей, т.е. доходность 13,5% за период или 40,5% годовых.
Это очень хороший результат, но я жду, что он немного скорректируется в январе на укреплении рубля, поскольку есть и иностранные бумаги в портфеле.
Цель на 2023 год: показать в приросте уровень годовой инфляции, плюс 5% сверху.
Основными бумагами в портфеле являются:
$LSRG - поскольку очень дешево оценена, при этом имеет много средств на счету для того, чтобы перетерпеть кризис. Допускаю потенциальную просадку по этой компании, но это будет означать только докупку в портфель. На дистанции считаю очень перспективной бумагой;
$LKOH и $TATN - поскольку ожидаю рост мировых цен на нефть в 2023 году, при этом именно эти компании имеют самое устойчивое финансовое положение. Безусловно, история про $ROSN и азиатские рынки интересна, но кто знает, по каким ценам идут продажи, какие скидки делаются? Пока нет отчетов, оценивать тяжело, так что для моего портфеля выбрал самые стабильные компании сегмента;
$NVTK - компания чувствует себя прекрасно в данной ситуации, кроме того много торговала в 2022 году по спотовым ценам, думаю порадует нас отчетом;
$SBERP - банки с одной стороны много зарабатывают на размещении МинФином ОФЗ, с другой - последние законы сильно портят им жизнь. Но рынок полон физиков, а они в такие подробности не смотрят. На этом растем и должны продолжить рост. Я явно вижу, что банк стал больше уделять вниманию экономии средств, что для бизнеса хорошо, так что из этого сегмента выбор очевиден. 
Остальные бумаги в малых долях + облигации.
Ниже сравнение по неделям портфеля и индекса Московской биржи. Портфель: +13,5%, индекс: -10%.
#о_портфеле_ileonov",16:22,2022-12-31,ROSN
