login,post,posts_time,posts_dt,ticker
Sust250,"$SBER если индекс падает , на чем растем ?",18:16,2023-01-05,SBER
alyoha.web,"$SBER в открытый космос, товарищи",18:13,2023-01-05,SBER
PeterQ,$SBER это так на режим прекращения огня реагирует?,18:13,2023-01-05,SBER
ImmortaI,$SBER толькко в сбере так бывает....,18:12,2023-01-05,SBER
MegaMozG64,"$SBER
Что что? Бежать отсюда😂😂. 
Седые волосы быстрее появляются, раздражительность, паника, возмущение. Одни плюсы",18:12,2023-01-05,SBER
Orion777,$SBER что дивы пришли ?,18:12,2023-01-05,SBER
UXUEM100500,$SBER :)))),18:10,2023-01-05,SBER
dinozavr.ik,"Видите эти прекрасные горы? За ними, наверняка, счастье. А на самом деле, счастье в самих горах🏔✨

Есть на фондовом рынке такая гора как $SNGSP 
В ней спрятаны залежи дивидендов для меня на наушники маршалы. Очень хочу себе наушники маршалы🫠

Я пишу редко, так как много работаю - инвест пенсия в 25 с неба не свалится.

$SBER здесь коррекция до уровня 125-135 и на этом мини падении ловим акции, а далее на 200 цель к новому году :)

По совету своего бойфренда покупаю китайские акции $BIDU $9888 $BABA $9988 тут рост 30-60% до конца 23 года

Лайк с тебя 🥺",18:06,2023-01-05,SBER
tornado1971,$SBER,17:49,2023-01-05,SBER
tornado1971,$SBER Нас опять об.... ли,17:44,2023-01-05,SBER
tornado1971,"$SBER Скрин, кто не верит, что ИТС, хрен закроеш",17:43,2023-01-05,SBER
ImmortaI,$SBER ну что к рождеству до 130 дойдет?,17:30,2023-01-05,SBER
Kadim2005,$SBER встал в ⬇️,17:24,2023-01-05,SBER
Hyder,"Просматривая один популярный скринер банков, где отображаются процентные ставки по кредитам и ипотекам, условиям по дебетовым и кредитным картам, заметил, что $SBER активно и дороже всех банков ( $TCSG $VTBR ) выкупает бумажные доллары у населения. К тому же банк стал предлагать достаточно высокие ставки по вкладам.

Можно сделать вывод, что банк не зря пылесосит рынок и скупает валютныую ликвидность и собирает вклады. Вполне вероятно, топ-менеджмент $SBER  обладает информацией о скорой девальвации рубля и хочет вложить средства, например, в замещающие облигации. Таким образом, через квартал в отчетности банка мы можем увидеть увеличение прибыли выше прогнозируемой, которую банк смог получить за счет валютной перееоценки, увеличении тела замещающих облигаций и облигационных купонов.",17:19,2023-01-05,SBER
